Income_count,Employment_count,CIF,ALCOHOL,DEPRESS,EMERG,Attendance,Attainment,Noquals,NEET,PT_GP,PT_Post,PT_retail,crime_count,overcrowded_count,nocentralheat_count
10,5,25,9.144347194,0.107505071,49.29427785,0.945054945,6.1,2.994991315,0,10.96811089,11.34080812,11.39815774,11.0051654,5,0
15,10,20,37.36682618,0.091457286,43.75868914,0.921052632,6.3,10.09036827,0.03,13.57595393,13.87936921,14.27010598,4.001878326,24,6
215,130,155,190.0372046,0.207440812,104.8119795,0.75,5.11538462,126.0685084,0.12,7.239959579,9.248304453,13.19105818,88.04132318,172,37
130,50,110,148.0104855,0.168846611,113.5364065,0.729257642,5.03846154,95.19406854,0.12,6.607238627,5.97865807,15.81458391,31.01455703,90,13
110,55,85,96.02701648,0.192922374,92.18863769,0.854545455,4.96296296,87.64184372,0.12,5.098661792,4.562476494,16.54209418,49.0230095,92,23
60,25,50,115.9567172,0.142098274,74.01415003,0.85,5.9,59.07824121,0.04,4.666735537,2.879283774,16.09567473,23.01080038,99,17
55,35,70,60.32543157,0.130081301,80.12420463,0.896414343,5.9047619,71.81207289,0.02,6.341725719,5.547208349,16.77029898,13.00610456,81,16
70,45,85,33.04745756,0.174033149,94.51576799,0.90625,5.82608696,64.80476215,0.02,4.545718263,5.857258252,14.32535908,8.003756652,80,33
195,115,160,220.7654251,0.228650138,106.9854535,0.819587629,5.15,130.1169277,0.18,3.775752776,4.220835599,12.14344621,59.02770531,150,26
140,80,120,157.0402088,0.201834862,109.9748975,0.805714286,5.16666667,137.5195888,0.1,5.231403782,7.04214566,12.35607611,31.01455703,111,19
70,35,100,101.5200997,0.139784946,93.07118026,0.857142857,4.92307692,112.008621,0.15,3.703047369,3.011647803,14.9909031,15.00704372,37,14
20,10,65,49.40594918,0.122580645,107.0651736,0.805555556,5.8,78.66743815,0.03,5.22313292,7.10313302,15.82208561,18.00845247,37,1
5,5,30,27.73529871,0.102040816,50.04088776,0.869158879,5.36363636,29.48369771,0.03,10.33606498,12.2160649,21.10251736,11.0051654,29,0
15,15,55,37.77281129,0.12605042,56.51835495,0.993006993,5.94736842,28.54450212,0.04,5.835680544,7.806759497,16.83434405,16.0075133,15,2
10,10,40,25.35204938,0.134146341,58.47984959,0.927419355,5.84615385,34.39934438,0.03,4.886898045,6.402434059,14.94292615,15.00704372,6,8
5,5,20,21.0366708,0.115987461,54.69406585,0.947368421,6.46666667,19.97725375,0,7.909910817,9.758424991,19.00895225,11.0051654,15,6
5,5,30,8.131284368,0.139575972,56.58948628,0.966292135,6.54545455,17.01975842,0,5.015018479,6.644086809,12.55218638,5.002347908,6,9
15,10,25,38.31626667,0.132190942,49.55855766,0.921686747,6.13333333,11.95442565,0.01,5.85010156,5.574623614,11.86310029,16.0075133,14,14
15,15,30,10.26367199,0.120317821,55.07540519,0.910828026,6.19047619,20.8054197,0.01,5.73681763,5.375243978,10.10090594,18.00845247,12,9
10,10,20,86.19704899,0.112,52.56103602,0.964516129,6.03030303,18.83663565,0.03,8.124633225,7.006156932,13.60844815,10.00469582,28,5
20,15,30,24.82720966,0.098330241,61.152501,0.935294118,5.96666667,28.7700353,0.03,7.623386429,8.200185762,14.04908713,13.00610456,40,10
15,5,25,52.18492184,0.10106383,53.24205537,0.960264901,6.2962963,32.52838519,0.01,11.15232444,11.89383784,17.87558108,3.001408745,16,4
5,5,15,7.366285162,0.070093458,45.7744528,0.946188341,6.1,10.82743014,0.01,15.02761871,15.38298625,22.25352962,4.001878326,21,12
10,5,20,5.298268754,0.106861642,55.52844592,0.929411765,6.59090909,23.02015648,0.01,7.576792823,7.823719396,15.0435745,8.003756652,34,3
5,5,20,36.64260811,0.134517766,51.79120352,0.975,6.45,17.21120412,0.02,8.70310799,9.571854813,16.65757456,19.00892205,13,1
50,30,55,42.70111977,0.130477118,87.5867514,0.798319328,5.65517241,67.71517819,0,15.07861387,15.30107687,15.04898508,13.00610456,65,7
65,35,70,5.91935353,0.142191142,102.2215357,0.849557522,5.67857143,88.1795281,0.07,12.15979334,11.93588348,11.82090122,15.00704372,65,6
80,50,80,33.1285528,0.162162162,88.00744949,0.855,5.34615385,81.56465231,0.07,8.250301944,6.78737916,7.81047793,32.01502661,112,23
20,15,35,16.52204104,0.121673004,69.47137924,0.92631579,5.7826087,51.3050893,0.06,13.1741697,13.89815781,19.13200503,17.00798289,49,19
65,30,60,36.75613819,0.154010695,79.14546639,0.859649123,5.38888889,52.43779198,0.06,8.735114355,9.455970502,14.50118147,19.00892205,104,17
30,25,45,25.73491336,0.14709236,69.79855009,0.801242236,5.7,47.46308249,0.01,9.133772777,8.136084397,13.03922943,20.00939163,43,12
70,40,105,58.2880122,0.178907721,103.7065273,0.742574257,4.61111111,84.4860669,0.09,6.744256609,4.540321976,10.44994788,57.02676615,69,7
285,135,165,177.2958868,0.176470588,136.6831131,0.699541284,4.39655172,189.6373308,0.11,9.691600802,7.703958897,11.19498162,49.0230095,288,14
275,145,175,261.0706291,0.170989433,137.3928395,0.701587302,4.8,168.6934613,0.14,7.838875401,4.468880348,11.94588554,44.02066159,235,23
200,115,170,148.8091949,0.183804627,134.2677301,0.666666667,4.56521739,137.4525191,0.28,5.422107971,8.074800754,13.3477923,42.01972243,149,13
285,125,145,232.4781323,0.162601626,154.9664615,0.677419355,4.71052632,167.985666,0.1,6.237618528,7.969784466,12.29592128,95.04461025,141,28
180,90,150,205.5210908,0.199095023,130.6983241,0.684647303,4.70967742,124.1785909,0.08,6.595219277,7.070016477,14.85998895,66.03099238,173,36
105,55,140,125.971043,0.185495119,121.073932,0.709090909,5.04761905,164.3461524,0.08,7.223807625,7.528076901,8.109510584,27.0126787,150,20
130,65,145,182.259597,0.193548387,113.2067666,0.61627907,5.04,151.8111752,0.07,7.243025692,7.721516421,7.407224592,20.00939163,123,11
90,40,100,143.6542295,0.160283688,100.7729959,0.680412371,4.86363636,134.1848987,0.05,8.445385676,9.731991906,9.215178046,24.01126996,136,16
205,120,185,239.3513907,0.202502844,173.7016305,0.773381295,5,144.2731351,0.09,8.180033333,8.769214812,7.889111082,33.01549619,122,9
185,95,135,156.7662331,0.206650831,145.556603,0.734782609,5.10526316,138.8171819,0.11,4.955364393,5.224942742,4.539933722,41.01925284,141,17
70,50,125,53.55373163,0.226688103,138.64845,0.702970297,5.41176471,121.0428763,0.03,5.320749631,4.769003398,5.512367951,15.00704372,67,15
210,110,160,143.7232429,0.229910714,130.519431,0.656462585,4.90322581,141.6636259,0.13,4.348849421,6.435322602,6.280860172,58.02723573,149,7
175,90,135,325.8818486,0.203892493,121.1141104,0.595307918,4.74468085,157.6365881,0.1,9.334812394,7.316547888,10.01605538,54.0253574,244,15
120,65,140,47.35395919,0.198945982,111.4337171,0.683453237,5.19230769,124.356212,0.09,11.73427434,4.938588701,11.73887777,31.01455703,142,3
75,35,75,45.35331198,0.148514851,85.84094337,0.736040609,5.21428571,84.81284617,0.07,9.926913735,9.408045444,10.22167081,37.01737452,78,12
270,200,260,257.8100828,0.247875354,143.9403294,0.585585586,4.85714286,193.5059362,0.26,8.307687497,7.666000009,8.620054693,79.03709694,167,14
275,150,175,148.7236325,0.218068536,134.5839901,0.653979239,4.87179487,182.1748516,0.18,8.343178988,4.335983318,8.672268436,65.0305228,247,24
100,55,120,89.8442111,0.182634731,111.1090197,0.686046512,4.41666667,98.71451656,0.07,7.752106087,5.978770269,8.453983793,63.02958364,54,1
