id,Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population_revised,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,Noquals,NEET,HESA,drive_petrol,drive_GP,drive_PO,drive_primary,drive_retail,drive_secondary,PT_GP,PT_Post,PT_retail,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate
209,S01008625,Morningside,City of Edinburgh,570,340,0.03,15,0.04,15,40,113.5305986,0,84,0.11754386,0,44.46962379,0.991452992,6.11111111,10.73795095,0.02,0.4,3.095483243,2.321721149,2.31865185,2.980053407,2.945127262,6.071851981,7.600383821,7.924877761,9.870959789,27.0126787,473.9066439,15,7,0.026501767,0.012367491
210,S01008626,Morningside,City of Edinburgh,913,601,0.02,20,0.03,15,20,27.2465261,56.45398322,59,0.090909091,0,40.19287192,0.935483871,6.16666667,10.74880979,0.02,0.22131148,1.518298271,1.724384876,1.786381926,0.816937938,2.21645101,6.032373805,5.566474392,6.052505436,6.289991888,18.00845247,197.2448244,63,10,0.068552775,0.010881393
211,S01008627,Morningside,City of Edinburgh,793,450,0,0,0.01,5,35,47.10826641,42.49822387,114,0.131147541,0,46.99810226,0.94,6.25,4.931411389,0,0.32352941,2.910117472,1.474425986,1.562615277,2.211809747,2.422601349,5.83414503,5.199038178,5.858300386,6.429202882,25.01173954,315.4065516,15,6,0.021582734,0.008633094
212,S01008628,Morningside,City of Edinburgh,693,474,0.04,30,0.04,20,60,22.60448203,33.17298336,102,0.121212121,0,64.25485357,0.957446809,6.5,21.19977911,0.06,0.10344828,3.523979809,1.778791541,1.934801579,2.154078349,1.901454596,4.717524089,7.006460222,6.393849292,6.016095394,15.00704372,216.5518575,72,14,0.123924269,0.024096386
213,S01008629,Morningside,City of Edinburgh,592,397,0.05,30,0.05,20,50,16.80707045,0,93,0.118243243,0,55.05719624,0.975206612,5.14285714,23.13543611,0,0.07777778,3.585820342,1.065011109,1.858191759,0.754748842,1.601671892,4.114294762,3.957460613,6.241208405,5.209781129,9.004226234,152.0984161,71,18,0.124343257,0.031523643
214,S01008630,Morningside,City of Edinburgh,595,451,0.02,15,0.02,10,35,63.5230226,66.379466,61,0.109243697,0.05,48.5821009,0.96,7,18.36106688,0.02,0.0505618,3.475094518,1.051195243,1.119869616,1.470546027,0.895857765,4.353507367,3.025575554,3.493363258,2.32974815,15.00704372,252.2192222,75,23,0.134892086,0.041366906
215,S01008631,Morningside,City of Edinburgh,863,707,0.05,40,0.06,45,55,52.15562223,106.4630245,89,0.113557358,0.060606061,55.07530477,0.925,6.5,21.1453647,0,0.10743802,3.155949166,1.183341922,0.751081424,2.023589226,0.889964158,4.819669965,3.402468171,2.024592882,2.335178115,14.00657414,162.300975,161,48,0.204834606,0.061068702
216,S01008632,Merchiston and Greenhill,City of Edinburgh,915,717,0.07,65,0.12,90,105,124.3207327,20.62924449,161,0.104918033,0.05,94.61349354,0.887096774,6.375,110.4585721,0.14,0.08988764,3.936693934,1.521996779,1.852061539,2.259578599,1.66834047,4.598200514,4.573605595,5.781497831,4.734934716,54.0253574,590.4410645,101,39,0.142053446,0.054852321
217,S01008633,Merchiston and Greenhill,City of Edinburgh,1015,559,0.04,40,0.05,30,55,66.76170159,35.99229497,63,0.137931034,0,67.6756119,0.933884298,5.88888889,24.28693626,0.03,0.24369748,3.568387481,1.844335097,2.55371322,2.026293121,2.948520429,4.482122663,6.293697451,6.676121269,8.596276315,26.01220912,256.2779224,40,15,0.043103448,0.016163793
218,S01008634,Merchiston and Greenhill,City of Edinburgh,733,513,0.02,10,0.02,15,35,82.50736736,0,67,0.085948158,0.095238095,55.47942122,0.954954955,6.63636364,10.42983442,0.02,0.12755102,2.688879024,1.553951723,1.959147195,2.196899098,2.428862354,3.331696205,6.371753921,7.17306057,9.322455282,9.004226234,122.8407399,87,24,0.119669876,0.03301238
